Time,x
171,-1.5401196873056635
172,-1.539847944824842
173,-1.5388393713072248
174,-1.5360015216853424
175,-1.5386536059199871
176,-1.5262216801645752
177,-1.5374323482979089
178,-1.5417567239068561
179,-1.552546821004334
180,-1.539002746002555
181,-1.5436525033573028
182,-1.5496832306777912
183,-1.5447722870857856
184,-1.5355200731578404
185,-1.5559765574336735
186,-1.5495722408876629
187,-1.5415915515487604
188,-1.5455036518510348
189,-1.537109896140692
190,-1.5473387633712394
191,-1.531511364208385
192,-1.5444445453241578
193,-1.5403809471995393
194,-1.535902817097137
195,-1.5432169945788496
196,-1.5458448982523278
197,-1.5318344532128596
198,-1.5309299648840144
199,-1.5556442422493528
200,-1.550327009012064
201,-1.5477087567614358
202,-1.553010577480247
203,-1.5346116183512961
204,-1.5319950323170963
205,-1.548124252587471
206,-1.530015505240147
207,-1.5532793417227406
208,-1.5382667983517788
209,-1.5350817870451832
210,-1.5410852669231434
211,-1.5459927595083316
212,-1.551473334992853
213,-1.5477354946909867
214,-1.5373539632039828
215,-1.546364714457586
216,-1.538479076237756
217,-1.550762863385226
218,-1.546475461285554
219,-1.535180072198996
220,-1.5395093978952257
221,-1.5237349019174447
222,-1.5481742113144428
223,-1.5468773637631472
224,-1.5448741897379388
225,-1.5452277741888358
226,-1.5498592046245354
227,-1.536624969484784
228,-1.5381770035370506
229,-1.5385644836038825
230,-1.5530360215571684
231,-1.5438310138030413
232,-1.5367435198696542
233,-1.5475907619227018
234,-1.5418069286428124
235,-1.5469345285740463
236,-1.5633139514124812
237,-1.5468967728196508
238,-1.5413623419424671
239,-1.5491419383515874
240,-1.5434923768961293
241,-1.5310903595583771
242,-1.5387471380032753
243,-1.5358703407800607
244,-1.5409799263101656
245,-1.5397284919948746
246,-1.5347856712505583
247,-1.5414338239024492
248,-1.5432924422723389
249,-1.5462094168351648
250,-1.5572663483195262
251,-1.5518009571744935
252,-1.5135216710131618
253,-1.525341607972607
254,-1.5315863175992452
255,-1.5393685509687105
256,-1.547431274898056
257,-1.5497255292196372
258,-1.54784234141276
259,-1.5572138193413685
260,-1.5362349479091728
261,-1.5475403582561522
262,-1.541760948671403
263,-1.5414385458142803
264,-1.5454589868917494
265,-1.5432707797279668
266,-1.5482599378460524
267,-1.5506757916400435
268,-1.5562892766820526
269,-1.548961792342778
270,-1.5531665866809183
271,-1.538032312992902
272,-1.531078694510464
273,-1.5389619014157148
274,-1.5550521990291009
275,-1.5413669503299219
276,-1.547473667975023
277,-1.5416292196136463
278,-1.5445149669542206
279,-1.5392503106704483
280,-1.5568798284244856
281,-1.5461407518652583
282,-1.5425009833677623
283,-1.5219868646269898
284,-1.5272635633905556
285,-1.540334074661666
286,-1.5550955019872426
287,-1.5497436980789023
288,-1.5458504428785647
289,-1.5479784819701576
290,-1.5466922555340572
291,-1.5570246510077597
292,-1.5464136800653663
293,-1.5302465493096868
294,-1.531066233316787
295,-1.5366507619245353
296,-1.5371085158170126
297,-1.5461914854267163
298,-1.5448380168996574
299,-1.5564716916026322
300,-1.5546540509569298
301,-1.5424725793656433
302,-1.5526359653261799
303,-1.5478948341916872
304,-1.5506260707714141
305,-1.5518006896004095
306,-1.5396257220267349
